,topics,terms
0,0,"0.092*""commerce"" + 0.080*""allocate"" + 0.067*""cut"" + 0.065*""max"" + 0.061*""application"" + 0.060*""dominant"" + 0.060*""regression"" + 0.042*""unwanted"" + 0.040*""incentive"" + 0.037*""object"" + 0.033*""food"" + 0.032*""embrace"" + 0.032*""towards"" + 0.030*""relation"" + 0.030*""unfair"" + 0.024*""stable"" + 0.024*""point"" + 0.023*""predictive"" + 0.023*""compare"" + 0.022*""multiple"""
1,1,"0.101*""responsible"" + 0.086*""analysis"" + 0.068*""mechanism"" + 0.056*""ai"" + 0.052*""verification"" + 0.049*""noise"" + 0.049*""algorithms"" + 0.046*""everyday"" + 0.046*""decision_make"" + 0.041*""allocation"" + 0.041*""perspective"" + 0.040*""trust"" + 0.036*""decisions"" + 0.036*""behaviors"" + 0.027*""need"" + 0.025*""put"" + 0.024*""controllable"" + 0.023*""improvements"" + 0.023*""examine"" + 0.020*""maximin"""
2,2,"0.066*""service"" + 0.065*""un"" + 0.054*""causal_model"" + 0.047*""differentiable"" + 0.046*""binary"" + 0.038*""aggregation"" + 0.038*""maximin"" + 0.035*""explainable"" + 0.032*""metrics"" + 0.031*""safeguard"" + 0.031*""challenge"" + 0.031*""task"" + 0.030*""note"" + 0.028*""practice"" + 0.026*""machine_learn"" + 0.024*""behind"" + 0.023*""curriculum"" + 0.023*""min"" + 0.022*""software"" + 0.020*""deal"""
3,3,"0.092*""judgement"" + 0.073*""embrace"" + 0.063*""educational"" + 0.059*""veil"" + 0.045*""diversity"" + 0.043*""interventions"" + 0.037*""active"" + 0.034*""network"" + 0.033*""reframing"" + 0.029*""information"" + 0.026*""program"" + 0.024*""crowd"" + 0.022*""recommendation"" + 0.022*""objectives"" + 0.020*""multiwinner"" + 0.019*""mitigate"" + 0.018*""criterion"" + 0.018*""non"" + 0.017*""algorithmic"" + 0.017*""product"""
4,4,"0.145*""deep"" + 0.069*""measurement"" + 0.066*""tolerant"" + 0.066*""fairly"" + 0.054*""approach"" + 0.048*""objective"" + 0.044*""concentration"" + 0.038*""crowdsourcing"" + 0.038*""product"" + 0.037*""lend"" + 0.035*""differences"" + 0.035*""platforms"" + 0.033*""use"" + 0.032*""automate"" + 0.030*""pool"" + 0.028*""many"" + 0.021*""recall"" + 0.020*""play"" + 0.019*""ordinal"" + 0.019*""cardinality"""
5,5,"0.093*""model"" + 0.083*""attitudes"" + 0.067*""detector"" + 0.061*""prediction"" + 0.060*""apply"" + 0.057*""exchange"" + 0.051*""aware"" + 0.048*""constraints"" + 0.043*""convexity"" + 0.042*""software"" + 0.038*""audit"" + 0.038*""indivisible"" + 0.036*""term"" + 0.035*""learn"" + 0.033*""bound"" + 0.029*""comparison"" + 0.026*""fare"" + 0.025*""expectation"" + 0.024*""group"" + 0.022*""decomposition"""
6,6,"0.041*""critically"" + 0.038*""public"" + 0.034*""claudette"" + 0.031*""multiple"" + 0.028*""value"" + 0.028*""welfare"" + 0.026*""probabilistic"" + 0.025*""outcome"" + 0.024*""problem"" + 0.024*""price"" + 0.024*""fairjudge"" + 0.022*""properties"" + 0.021*""capuchin"" + 0.020*""fairmod"" + 0.019*""via"" + 0.019*""groupwise"" + 0.019*""filter"" + 0.018*""definitions"" + 0.017*""predictive"" + 0.017*""optimization"""
7,7,"0.071*""classification"" + 0.070*""applications"" + 0.062*""items"" + 0.060*""discrimination"" + 0.055*""two"" + 0.051*""formalize"" + 0.049*""test"" + 0.045*""base"" + 0.044*""group"" + 0.043*""recall"" + 0.038*""bank"" + 0.037*""advisor"" + 0.037*""fair"" + 0.034*""supervise_learn"" + 0.033*""clauses"" + 0.032*""ethical"" + 0.032*""cake"" + 0.032*""new"" + 0.018*""nash"" + 0.016*""learn"""
8,8,"0.101*""potentially"" + 0.085*""query"" + 0.085*""fair_division"" + 0.079*""nash"" + 0.076*""generalize"" + 0.072*""principles"" + 0.069*""counterfactual"" + 0.067*""right"" + 0.054*""criteria"" + 0.048*""handle"" + 0.032*""impossibility"" + 0.030*""optimality"" + 0.028*""collaborative"" + 0.026*""detection"" + 0.019*""extensible"" + 0.015*""additive"" + 0.014*""task"" + 0.014*""fare"" + 0.011*""unfair"" + 0.010*""dominant"""
9,9,"0.074*""intersectional"" + 0.056*""social"" + 0.044*""toolkit"" + 0.043*""goals"" + 0.038*""non"" + 0.036*""make"" + 0.034*""algorithm"" + 0.034*""vote"" + 0.033*""bayesian"" + 0.030*""lexicographic"" + 0.030*""meta"" + 0.028*""beyond"" + 0.027*""accuracy"" + 0.026*""theoretic"" + 0.023*""aequitas"" + 0.023*""lessons"" + 0.023*""detect"" + 0.022*""robots"" + 0.022*""reason"" + 0.022*""result"""
